Code,Name,Purchase Price,Tax,Retail Price,Category Code
1776,ABACAXI CRISTALIZADO,,0,08.00,G01
1804,ABACAXI CRISTALIZADO E GLACEADO,,0,08.00,G01
1777,ABACAXI GLACEADO,,0,08.00,G01
1503,ABOBORA COM COCO  ( BANDEJA ),,0,08.00,G01
1502,ÁGUA MINERAL  500 ML.,,0,01.50,G01
1501,ÁGUA MINERAL 1.1/2,,0,03.00,G01
1750,AMENDOAS CONFEITADAS,,0,20.00,G01
1740,AMENDOIM  ( PACOTE ),,0,05.00,G01
1742,AMENDOIM  ( POTE ),,0,04.00,G01
1741,AMENDOM (  SAQUINHO DE 50 GRS.),,0,01.00,G01
1679,AZEITE DE DENDÊ  GDE.,,0,08.00,G01
1680,AZEITE DE DENDÊ  PEQ.,,0,05.00,G01
1504,BALA DE JACA  ( BANDEJA ),,0,08.00,G01
1505,BALA DE JENIPAPO  ( BANDEJA ),,0,08.00,G01
1507,BALA DE LEITE MARROM  ( BANDEJA ),,0,08.00,G01
1506,BALA DE LEITE PRETA  ( BANDEJA ),,0,08.00,G01
1809,BALA DE TAMARINDO  ( POTE ),,0,05.00,G01
1756,BANANA CHIPS,,0,05.00,G01
1764,BANANA CREMOSO DIET  ( D. MONTANHA ),,0,13.00,G01
1728,BANANA DESIDRATADA  500 GRS.,,0,10.00,G01
1706,BANANA DESITRATADA  ( POTE ),,0,05.00,G01
1747,BANANA PASSA  ( BOA SORTE ),,0,20.00,G01
1801,BANANA PASSA  01 KG.,,0,35.00,G01
1508,BANANA RECHEADA  ( BANDEJA ),,0,08.00,G01
1610,BANANA SEM AÇUCAR,,0,12.00,G01
1748,BANANA SEM AÇUCAR  ( BALA ),,0,10.00,G01
1611,BANANA SEM AÇUCAR C/ AMEIXA,,0,12.00,G01
1612,BANANA SEM AÇUCAR C/ UVA PASSA,,0,12.00,G01
1771,BANANADA ( DOM PEDRITO ),,0,08.00,G01
1716,BANANADA NA PALHA,,0,09.00,G01
1818,BARRA DE CACAU  GRANDE,,0,15.00,G01
1817,BARRA DE CACAU  PEQUENA,,0,08.00,G01
1717,BATATA DOCE,,0,10.00,G01
1544,BIJU DE TAPIOCA NATURAL,,0,07.00,G01
1536,BISCOITO ACEBOLADO  ( MILAGRE ),,0,07.00,G01
1537,BISCOITO AMANTEIGADO  ( MILAGRE ),,0,07.00,G01
1555,BISCOITO AMERICANO,,0,06.00,G01
1545,BISCOITO AVOADOR,,0,03.00,G01
1538,BISCOITO BEIJO CABLOCO  ( MILAGRE ),,0,07.00,G01
1552,BISCOITO DE BATATA DOCE,,0,09.00,G01
1551,BISCOITO DE CANELA,,0,06.00,G01
1539,BISCOITO DE GOMA  ( BALDIC ),,0,03.50,G01
1540,BISCOITO DE GOMA  ( MILAGRE ),,0,07.00,G01
1541,BISCOITO DE LEITE  ( MILAGRE ),,0,07.00,G01
1542,BISCOITO DE MILHO  ( MILAGRE ),,0,07.00,G01
1543,BISCOITO DE QUEIJO  ( MILAGRE ),,0,07.00,G01
1796,BISCOITO DEUS É FIEL,,0,06.00,G01
1549,BISCOITO QUERO MAIS  ( MILAGRE ),,0,07.00,G01
1553,BOLACHA DOCE MARAGOGI,,0,06.00,G01
1554,BOLACHA SALGADA MARAGOGI,,0,06.00,G01
1546,BROA DE MILHO  ( PEQUENA ),,0,06.00,G01
1718,BURITI,,0,10.00,G01
1571,CACHAÇA BOA LUZ  ( GDE. ),,0,40.00,G01
1589,CACHAÇA C/ CARANGUEJO + CANA + LARANJA,,0,20.00,G01
1573,CACHAÇA COM CAJU  (  PEQ. ),,0,12.00,G01
1572,CACHAÇA COM CAJU  ( GDE.  ),,0,20.00,G01
1574,CACHAÇA COM CARANGUEJO  ( GDE. ),,0,20.00,G01
1575,CACHAÇA COM CARANGUEJO  ( PEQ. ),,0,12.00,G01
1576,CACHAÇA COM DIZERES  ( PEQ.  ),,0,08.00,G01
1577,CACHAÇA CRAVO E CANELA  ( GDE. ),,0,25.00,G01
1578,CACHAÇA CRAVO E CANELA  ( PEQ. ),,0,12.00,G01
1591,CACHAÇA ESCORREGA OURO (  GDE. ),,0,35.00,G01
1592,CACHAÇA ESCORREGA PRATA  ( GDE. ),,0,30.00,G01
1579,CACHAÇA LYRA  BRANCA,,0,35.00,G01
1580,CACHAÇA LYRA  CARVALHO ( GDE. ),,0,45.00,G01
1581,CACHAÇA LYRA CARVALHO  MÉDIA,,0,18.00,G01
1583,CACHAÇA RESERVA DO BARÃO  ( BRANCA  ),,0,80.00,G01
1582,CACHAÇA RESERVA DO BARÃO  ( NORMAL  ),,0,40.00,G01
1584,CACHAÇA RESERVA DO BARÃO  ( PRETA  ),,0,80.00,G01
1590,CACHAÇA SALINAS ( LOUÇA  ),,0,80.00,G01
1585,CACHAÇA VELHO ANTONIO  ( GDE. ),,0,25.00,G01
1586,CACHAÇA VELHO ANTONIO  ( PEQ. ),,0,12.00,G01
1587,CACHAÇA XINGO OURO  ( GDE. ),,0,35.00,G01
1588,CACHAÇA XINGO PRATA  ( GDE. ),,0,30.00,G01
1714,CAJU  ( BALA )  MIRASSOL,,0,07.00,G01
1704,CAJU AMEIXA  (POTE PEQUENO),,0,07.00,G01
1509,CAJU AMEIXA ( BANDEJA ),,0,08.00,G01
1787,CAJU AMEIXA ( POTE GRANDE ),,0,15.00,G01
1715,CAJU C/ CASTANHA  ( BALA )  MIRASSOL,,0,07.00,G01
1719,CAJU C/ CASTANHA  ( BARRA ),,0,09.00,G01
1626,CAJU COM CASTANHA CREMOSO  ( S. VIVENDA ),,0,20.00,G01
1627,CAJU CREMOSO  ( S. VIVENDA ),,0,20.00,G01
1510,CAJU CRISTALIZADO  ( BANDEJA ),,0,08.00,G01
1816,CAJU CRISTALIZADO  ( POTE ),,0,05.00,G01
1707,CAJU CRISTALIZADO  ( POTE ) CANÃ,,0,07.00,G01
1784,CAJU CRISTALIZADO MIRASOL  ( POTE ),,0,07.00,G01
1819,CAJU CRISTALIZADO PACOTE  ( DOM PEDRITO ),,0,10.00,G01
1820,CAJU CRISTALIZADO POTE  ( DOM PEDRITO ),,0,05.00,G01
